time1,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time2,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time3,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time11,Pleasure,Arousal,Dominance,time0,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1722274897.4649,neutral,frown,0.552946,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.4962,neutral,frown,0.176347,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.5274,neutral,frown,0.176347,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.5587,neutral,frown,0.176347,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.59,neutral,frown,0.176347,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.6214,neutral,frown,0.149057,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.6527,neutral,frown,0.149057,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.684,neutral,frown,0.149057,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.7153,neutral,frown,0.149057,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.7466,neutral,frown,0.150551,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722274897.7466,3,59,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.778,neutral,frown,0.150551,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.8093,neutral,frown,0.150551,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.8405,neutral,frown,0.150551,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.8718,neutral,frown,0.197022,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.9031,neutral,frown,0.197022,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.9345,neutral,frown,0.197022,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.9658,neutral,frown,0.197022,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.9971,neutral,frown,0.381475,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.0284,neutral,frown,0.381475,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.0597,neutral,frown,0.381475,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.0911,neutral,frown,0.381475,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.1223,neutral,frown,0.443995,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.1536,neutral,frown,0.443995,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.1849,neutral,frown,0.443995,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.2162,neutral,frown,0.443995,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.2476,blink,frown,0.832705,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722274898.2554,3,59,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.2789,blink,frown,0.832705,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.3102,blink,frown,0.832705,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.3415,blink,frown,0.832705,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.3728,blink,frown,0.865915,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.4042,neutral,frown,0.865915,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.4354,neutral,frown,0.865915,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.4667,neutral,frown,0.865915,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.498,neutral,frown,0.840662,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.5293,neutral,frown,0.840662,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.5607,neutral,frown,0.840662,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.592,neutral,frown,0.840662,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.6233,neutral,frown,0.883411,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.6546,neutral,frown,0.883411,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.6859,neutral,frown,0.883411,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.7173,neutral,frown,0.883411,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274898.7485,neutral,frown,0.806241,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
